Symbiont accepted name;Host accepted name;Ocean origin;Region origin;Country origin
Parvilucifera sp.;Protoperidinium bipes;Mediterranean Sea;Catalunya;Spain
Parvilucifera sp.;Scrippsiella trochoidea-species complex;Mediterranean Sea;Catalunya;Spain
Parvilucifera sp.;Akashiwo sanguinea;Mediterranean Sea;Catalunya;Spain
Parvilucifera sp.;Prorocentrum micans;Mediterranean Sea;Catalunya;Spain
Parvilucifera sp.;Dinophysis sacculus;Mediterranean Sea;Catalunya;Spain
Parvilucifera sp.;Alexandrium minutum;English Channel;Penzé estuary;France
Parvilucifera sp.;Alexandrium pacificum;English Channel;Penzé estuary;France
Parvilucifera sp.;Alexandrium fundyense;English Channel;Penzé estuary;France
Parvilucifera sp.;Scrippsiella trochoidea-species complex;English Channel;Penzé estuary;France
Parvilucifera sp.;Karenia mikimotoi;English Channel;Penzé estuary;France
Parvilucifera sinerae;Gymnodinium catenatum;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Gymnodinium nolleri;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Karenia brevis;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Alexandrium andersonii;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Alexandrium pacificum;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Alexandrium insuetum;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Alexandrium margalefii;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Alexandrium minutum;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Alexandrium minutum;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Alexandrium ostenfeldii;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Alexandrium peruvianum;Mediterranean Sea;Catalunya;Spain
Parvilucifera sinerae;Protoceratium reticulatum;Mediterranean Sea;Catalunya;Spain
Parvilucifera prorocentri;Prorocentrum fukuyoi;;Boundary Bay;Canada
Parvilucifera prorocentri;Prorocentrum fukuyoi;;Boundary Bay;Canada
Parvilucifera rostrata;Alexandrium minutum;English Channel;Penzé estuary;France
Parvilucifera rostrata;Alexandrium pacificum;English Channel;Penzé estuary;France
Parvilucifera rostrata;Alexandrium ostenfeldii;English Channel;Penzé estuary;France
Parvilucifera rostrata;Alexandrium tamarense;English Channel;Penzé estuary;France
